"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Cantera Quarry","-","Bland Queso","-","61.81%","Chip Chiseler",2257
"Cantera Quarry","-","Bland Queso","-","38.19%","Tiny Toppler",2257
"Cantera Quarry","-","Mild Queso","-","50.64%","Ore Chipper",3843
"Cantera Quarry","-","Mild Queso","-","49.36%","Rubble Rummager",3843
"Cantera Quarry","-","Medium Queso","-","61.48%","Nachore Golem",4297
"Cantera Quarry","-","Medium Queso","-","38.52%","Rubble Rouser",4297
"Cantera Quarry","-","Hot Queso","-","51.90%","Grampa Golem",2717
"Cantera Quarry","-","Hot Queso","-","48.10%","Fiery Crusher",2717
"Cantera Quarry","-","Flamin' Queso","-","100.00%","Nachous, The Molten",742
