"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"S.S. Huntington III","-","Marshmallow Monterey","Dark Chocolate","6.57%","Spring Sprig",137
"S.S. Huntington III","-","Marshmallow Monterey","Dark Chocolate","5.84%","Eggsquisite Entertainer",137
"S.S. Huntington III","-","Marshmallow Monterey","Dark Chocolate","4.38%","Chocolate Gold Foil",137
"S.S. Huntington III","-","Marshmallow Monterey","Dark Chocolate","4.38%","Carefree Cook",137
"S.S. Huntington III","-","Marshmallow Monterey","Dark Chocolate","2.92%","Eggsplosive Scientist",137
"S.S. Huntington III","-","Marshmallow Monterey","Dark Chocolate","2.19%","Coco Commander",137
"S.S. Huntington III","-","Marshmallow Monterey","Dark Chocolate","2.19%","Chocolate Overload",137
"S.S. Huntington III","-","Marshmallow Monterey","Dark Chocolate","1.46%","Hardboiled",137
"S.S. Huntington III","-","Marshmallow Monterey","Dark Chocolate","0.73%","Egg Scrambler",137
"Cape Clawed","-","Marshmallow Monterey","-","23.51%","Egg Painter",251
"Cape Clawed","-","Marshmallow Monterey","-","9.96%","Egg Scrambler",251
"Cape Clawed","-","Marshmallow Monterey","-","9.56%","Eggsplosive Scientist",251
"Cape Clawed","-","Marshmallow Monterey","-","8.76%","Carefree Cook",251
"Cape Clawed","-","Marshmallow Monterey","-","7.97%","Coco Commander",251
"Cape Clawed","-","Marshmallow Monterey","-","7.57%","Chocolate Overload",251
"Cape Clawed","-","Marshmallow Monterey","-","7.17%","Eggscavator",251
"Cape Clawed","-","Marshmallow Monterey","-","5.58%","Chocolate Gold Foil",251
"Cape Clawed","-","Marshmallow Monterey","-","4.78%","Spring Sprig",251
"Cape Clawed","-","Marshmallow Monterey","-","3.98%","Hardboiled",251
"Cape Clawed","-","Marshmallow Monterey","-","3.98%","Onion Chopper",251
"Cape Clawed","-","Marshmallow Monterey","-","3.19%","Pan Slammer",251
"Cape Clawed","-","Marshmallow Monterey","-","2.79%","Hare Razer",251
"Cape Clawed","-","Marshmallow Monterey","-","1.20%","Eggsquisite Entertainer",251
"King's Gauntlet","-","Marshmallow Monterey","-","22.69%","Egg Painter",4280
"King's Gauntlet","-","Marshmallow Monterey","-","9.28%","Egg Scrambler",4280
"King's Gauntlet","-","Marshmallow Monterey","-","8.95%","Eggscavator",4280
"King's Gauntlet","-","Marshmallow Monterey","-","8.95%","Chocolate Overload",4280
"King's Gauntlet","-","Marshmallow Monterey","-","8.93%","Coco Commander",4280
"King's Gauntlet","-","Marshmallow Monterey","-","8.93%","Eggsplosive Scientist",4280
"King's Gauntlet","-","Marshmallow Monterey","-","6.45%","Chocolate Gold Foil",4280
"King's Gauntlet","-","Marshmallow Monterey","-","5.96%","Spring Sprig",4280
"King's Gauntlet","-","Marshmallow Monterey","-","4.70%","Carefree Cook",4280
"King's Gauntlet","-","Marshmallow Monterey","-","3.55%","Eggsquisite Entertainer",4280
"King's Gauntlet","-","Marshmallow Monterey","-","3.06%","Hardboiled",4280
"King's Gauntlet","-","Marshmallow Monterey","-","2.94%","Hare Razer",4280
"King's Gauntlet","-","Marshmallow Monterey","-","2.92%","Onion Chopper",4280
"King's Gauntlet","-","Marshmallow Monterey","-","2.71%","Pan Slammer",4280
"King's Gauntlet","-","Marshmallow Monterey","Dark Chocolate","16.63%","Egg Painter",451
"King's Gauntlet","-","Marshmallow Monterey","Dark Chocolate","11.09%","Sinister Egg Painter",451
"King's Gauntlet","-","Marshmallow Monterey","Dark Chocolate","10.20%","Chocolate Gold Foil",451
"King's Gauntlet","-","Marshmallow Monterey","Dark Chocolate","9.09%","Hare Razer",451
"King's Gauntlet","-","Marshmallow Monterey","Dark Chocolate","9.09%","Carefree Cook",451
"King's Gauntlet","-","Marshmallow Monterey","Dark Chocolate","8.87%","Spring Sprig",451
"King's Gauntlet","-","Marshmallow Monterey","Dark Chocolate","6.87%","Eggsquisite Entertainer",451
"King's Gauntlet","-","Marshmallow Monterey","Dark Chocolate","6.65%","Eggscavator",451
"King's Gauntlet","-","Marshmallow Monterey","Dark Chocolate","6.43%","Pan Slammer",451
"King's Gauntlet","-","Marshmallow Monterey","Dark Chocolate","4.66%","Onion Chopper",451
"King's Gauntlet","-","Marshmallow Monterey","Dark Chocolate","3.10%","Egg Scrambler",451
"King's Gauntlet","-","Marshmallow Monterey","Dark Chocolate","2.66%","Coco Commander",451
"King's Gauntlet","-","Marshmallow Monterey","Dark Chocolate","2.22%","Hardboiled",451
"King's Gauntlet","-","Marshmallow Monterey","Dark Chocolate","1.33%","Eggsplosive Scientist",451
"King's Gauntlet","-","Marshmallow Monterey","Dark Chocolate","1.11%","Chocolate Overload",451
"Claw Shot City","-","Marshmallow Monterey","-","23.87%","Egg Painter",884
"Claw Shot City","-","Marshmallow Monterey","-","10.41%","Eggsplosive Scientist",884
"Claw Shot City","-","Marshmallow Monterey","-","9.84%","Coco Commander",884
"Claw Shot City","-","Marshmallow Monterey","-","9.05%","Egg Scrambler",884
"Claw Shot City","-","Marshmallow Monterey","-","7.47%","Chocolate Overload",884
"Claw Shot City","-","Marshmallow Monterey","-","7.13%","Eggscavator",884
"Claw Shot City","-","Marshmallow Monterey","-","6.67%","Spring Sprig",884
"Claw Shot City","-","Marshmallow Monterey","-","6.56%","Carefree Cook",884
"Claw Shot City","-","Marshmallow Monterey","-","5.32%","Chocolate Gold Foil",884
"Claw Shot City","-","Marshmallow Monterey","-","3.51%","Hare Razer",884
"Claw Shot City","-","Marshmallow Monterey","-","2.94%","Pan Slammer",884
"Claw Shot City","-","Marshmallow Monterey","-","2.83%","Eggsquisite Entertainer",884
"Claw Shot City","-","Marshmallow Monterey","-","2.49%","Onion Chopper",884
"Claw Shot City","-","Marshmallow Monterey","-","1.92%","Hardboiled",884
"Muridae Market","-","Marshmallow Monterey","-","22.00%","Egg Painter",541
"Muridae Market","-","Marshmallow Monterey","-","11.09%","Eggscavator",541
"Muridae Market","-","Marshmallow Monterey","-","10.35%","Coco Commander",541
"Muridae Market","-","Marshmallow Monterey","-","9.98%","Chocolate Overload",541
"Muridae Market","-","Marshmallow Monterey","-","9.43%","Egg Scrambler",541
"Muridae Market","-","Marshmallow Monterey","-","7.58%","Eggsplosive Scientist",541
"Muridae Market","-","Marshmallow Monterey","-","5.73%","Spring Sprig",541
"Muridae Market","-","Marshmallow Monterey","-","5.18%","Chocolate Gold Foil",541
"Muridae Market","-","Marshmallow Monterey","-","4.44%","Carefree Cook",541
"Muridae Market","-","Marshmallow Monterey","-","3.33%","Hare Razer",541
"Muridae Market","-","Marshmallow Monterey","-","3.14%","Pan Slammer",541
"Muridae Market","-","Marshmallow Monterey","-","3.14%","Eggsquisite Entertainer",541
"Muridae Market","-","Marshmallow Monterey","-","2.77%","Hardboiled",541
"Muridae Market","-","Marshmallow Monterey","-","1.85%","Onion Chopper",541
"Muridae Market","-","Marshmallow Monterey","Dark Chocolate","30.77%","Spring Sprig",13
"Muridae Market","-","Marshmallow Monterey","Dark Chocolate","23.08%","Carefree Cook",13
"Muridae Market","-","Marshmallow Monterey","Dark Chocolate","15.38%","Onion Chopper",13
"Muridae Market","-","Marshmallow Monterey","Dark Chocolate","7.69%","Egg Scrambler",13
"Muridae Market","-","Marshmallow Monterey","Dark Chocolate","7.69%","Chocolate Gold Foil",13
"Muridae Market","-","Marshmallow Monterey","Dark Chocolate","7.69%","Pan Slammer",13
"Muridae Market","-","Marshmallow Monterey","Dark Chocolate","7.69%","Sinister Egg Painter",13
"Gnawnia Rift","-","Marshmallow Monterey","-","22.32%","Egg Painter",5655
"Gnawnia Rift","-","Marshmallow Monterey","-","9.83%","Eggsplosive Scientist",5655
"Gnawnia Rift","-","Marshmallow Monterey","-","9.57%","Eggscavator",5655
"Gnawnia Rift","-","Marshmallow Monterey","-","9.16%","Egg Scrambler",5655
"Gnawnia Rift","-","Marshmallow Monterey","-","9.09%","Coco Commander",5655
"Gnawnia Rift","-","Marshmallow Monterey","-","9.04%","Chocolate Overload",5655
"Gnawnia Rift","-","Marshmallow Monterey","-","5.82%","Chocolate Gold Foil",5655
"Gnawnia Rift","-","Marshmallow Monterey","-","5.46%","Spring Sprig",5655
"Gnawnia Rift","-","Marshmallow Monterey","-","5.04%","Carefree Cook",5655
"Gnawnia Rift","-","Marshmallow Monterey","-","3.36%","Hardboiled",5655
"Gnawnia Rift","-","Marshmallow Monterey","-","3.17%","Onion Chopper",5655
"Gnawnia Rift","-","Marshmallow Monterey","-","2.79%","Eggsquisite Entertainer",5655
"Gnawnia Rift","-","Marshmallow Monterey","-","2.76%","Hare Razer",5655
"Gnawnia Rift","-","Marshmallow Monterey","-","2.60%","Pan Slammer",5655
"Gnawnia Rift","-","Marshmallow Monterey","Dark Chocolate","14.20%","Egg Painter",317
"Gnawnia Rift","-","Marshmallow Monterey","Dark Chocolate","10.41%","Eggscavator",317
"Gnawnia Rift","-","Marshmallow Monterey","Dark Chocolate","9.78%","Chocolate Gold Foil",317
"Gnawnia Rift","-","Marshmallow Monterey","Dark Chocolate","9.78%","Pan Slammer",317
"Gnawnia Rift","-","Marshmallow Monterey","Dark Chocolate","9.15%","Sinister Egg Painter",317
"Gnawnia Rift","-","Marshmallow Monterey","Dark Chocolate","9.15%","Spring Sprig",317
"Gnawnia Rift","-","Marshmallow Monterey","Dark Chocolate","7.89%","Onion Chopper",317
"Gnawnia Rift","-","Marshmallow Monterey","Dark Chocolate","7.57%","Carefree Cook",317
"Gnawnia Rift","-","Marshmallow Monterey","Dark Chocolate","7.26%","Hare Razer",317
"Gnawnia Rift","-","Marshmallow Monterey","Dark Chocolate","5.36%","Eggsquisite Entertainer",317
"Gnawnia Rift","-","Marshmallow Monterey","Dark Chocolate","4.10%","Hardboiled",317
"Gnawnia Rift","-","Marshmallow Monterey","Dark Chocolate","2.52%","Coco Commander",317
"Gnawnia Rift","-","Marshmallow Monterey","Dark Chocolate","1.26%","Eggsplosive Scientist",317
"Gnawnia Rift","-","Marshmallow Monterey","Dark Chocolate","0.95%","Chocolate Overload",317
"Gnawnia Rift","-","Marshmallow Monterey","Dark Chocolate","0.63%","Egg Scrambler",317
"Fungal Cavern","-","Marshmallow Monterey","-","22.79%","Egg Painter",7798
"Fungal Cavern","-","Marshmallow Monterey","-","10.12%","Coco Commander",7798
"Fungal Cavern","-","Marshmallow Monterey","-","9.12%","Eggsplosive Scientist",7798
"Fungal Cavern","-","Marshmallow Monterey","-","8.99%","Chocolate Overload",7798
"Fungal Cavern","-","Marshmallow Monterey","-","8.90%","Egg Scrambler",7798
"Fungal Cavern","-","Marshmallow Monterey","-","8.44%","Eggscavator",7798
"Fungal Cavern","-","Marshmallow Monterey","-","5.77%","Chocolate Gold Foil",7798
"Fungal Cavern","-","Marshmallow Monterey","-","5.63%","Spring Sprig",7798
"Fungal Cavern","-","Marshmallow Monterey","-","5.19%","Carefree Cook",7798
"Fungal Cavern","-","Marshmallow Monterey","-","3.28%","Hare Razer",7798
"Fungal Cavern","-","Marshmallow Monterey","-","3.14%","Onion Chopper",7798
"Fungal Cavern","-","Marshmallow Monterey","-","2.95%","Hardboiled",7798
"Fungal Cavern","-","Marshmallow Monterey","-","2.85%","Pan Slammer",7798
"Fungal Cavern","-","Marshmallow Monterey","-","2.83%","Eggsquisite Entertainer",7798
"Fungal Cavern","-","Marshmallow Monterey","Dark Chocolate","17.25%","Egg Painter",284
"Fungal Cavern","-","Marshmallow Monterey","Dark Chocolate","10.21%","Sinister Egg Painter",284
"Fungal Cavern","-","Marshmallow Monterey","Dark Chocolate","9.51%","Pan Slammer",284
"Fungal Cavern","-","Marshmallow Monterey","Dark Chocolate","9.15%","Eggscavator",284
"Fungal Cavern","-","Marshmallow Monterey","Dark Chocolate","8.45%","Hare Razer",284
"Fungal Cavern","-","Marshmallow Monterey","Dark Chocolate","8.10%","Onion Chopper",284
"Fungal Cavern","-","Marshmallow Monterey","Dark Chocolate","7.75%","Chocolate Gold Foil",284
"Fungal Cavern","-","Marshmallow Monterey","Dark Chocolate","7.39%","Eggsquisite Entertainer",284
"Fungal Cavern","-","Marshmallow Monterey","Dark Chocolate","7.39%","Carefree Cook",284
"Fungal Cavern","-","Marshmallow Monterey","Dark Chocolate","6.34%","Spring Sprig",284
"Fungal Cavern","-","Marshmallow Monterey","Dark Chocolate","2.82%","Hardboiled",284
"Fungal Cavern","-","Marshmallow Monterey","Dark Chocolate","1.76%","Coco Commander",284
"Fungal Cavern","-","Marshmallow Monterey","Dark Chocolate","1.76%","Egg Scrambler",284
"Fungal Cavern","-","Marshmallow Monterey","Dark Chocolate","1.41%","Eggsplosive Scientist",284
"Fungal Cavern","-","Marshmallow Monterey","Dark Chocolate","0.70%","Chocolate Overload",284
"Moussu Picchu","-","Marshmallow Monterey","-","22.37%","Egg Painter",2114
"Moussu Picchu","-","Marshmallow Monterey","-","10.97%","Coco Commander",2114
"Moussu Picchu","-","Marshmallow Monterey","-","9.46%","Egg Scrambler",2114
"Moussu Picchu","-","Marshmallow Monterey","-","9.13%","Eggsplosive Scientist",2114
"Moussu Picchu","-","Marshmallow Monterey","-","8.70%","Eggscavator",2114
"Moussu Picchu","-","Marshmallow Monterey","-","8.42%","Chocolate Overload",2114
"Moussu Picchu","-","Marshmallow Monterey","-","6.62%","Chocolate Gold Foil",2114
"Moussu Picchu","-","Marshmallow Monterey","-","5.77%","Spring Sprig",2114
"Moussu Picchu","-","Marshmallow Monterey","-","5.49%","Carefree Cook",2114
"Moussu Picchu","-","Marshmallow Monterey","-","2.79%","Pan Slammer",2114
"Moussu Picchu","-","Marshmallow Monterey","-","2.70%","Hare Razer",2114
"Moussu Picchu","-","Marshmallow Monterey","-","2.65%","Eggsquisite Entertainer",2114
"Moussu Picchu","-","Marshmallow Monterey","-","2.51%","Hardboiled",2114
"Moussu Picchu","-","Marshmallow Monterey","-","2.41%","Onion Chopper",2114
"Moussu Picchu","-","Marshmallow Monterey","Dark Chocolate","13.79%","Hare Razer",58
"Moussu Picchu","-","Marshmallow Monterey","Dark Chocolate","13.79%","Pan Slammer",58
"Moussu Picchu","-","Marshmallow Monterey","Dark Chocolate","12.07%","Sinister Egg Painter",58
"Moussu Picchu","-","Marshmallow Monterey","Dark Chocolate","12.07%","Carefree Cook",58
"Moussu Picchu","-","Marshmallow Monterey","Dark Chocolate","10.34%","Egg Painter",58
"Moussu Picchu","-","Marshmallow Monterey","Dark Chocolate","10.34%","Spring Sprig",58
"Moussu Picchu","-","Marshmallow Monterey","Dark Chocolate","8.62%","Onion Chopper",58
"Moussu Picchu","-","Marshmallow Monterey","Dark Chocolate","5.17%","Eggscavator",58
"Moussu Picchu","-","Marshmallow Monterey","Dark Chocolate","5.17%","Chocolate Gold Foil",58
"Moussu Picchu","-","Marshmallow Monterey","Dark Chocolate","3.45%","Hardboiled",58
"Moussu Picchu","-","Marshmallow Monterey","Dark Chocolate","1.72%","Coco Commander",58
"Moussu Picchu","-","Marshmallow Monterey","Dark Chocolate","1.72%","Chocolate Overload",58
"Moussu Picchu","-","Marshmallow Monterey","Dark Chocolate","1.72%","Eggsquisite Entertainer",58
