"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Town of Gnawnia","-","Marshmallow Monterey","-","23.32%","Egg Painter",1801
"Town of Gnawnia","-","Marshmallow Monterey","-","10.16%","Chocolate Overload",1801
"Town of Gnawnia","-","Marshmallow Monterey","-","9.83%","Egg Scrambler",1801
"Town of Gnawnia","-","Marshmallow Monterey","-","9.49%","Coco Commander",1801
"Town of Gnawnia","-","Marshmallow Monterey","-","9.33%","Eggsplosive Scientist",1801
"Town of Gnawnia","-","Marshmallow Monterey","-","8.22%","Eggscavator",1801
"Town of Gnawnia","-","Marshmallow Monterey","-","5.72%","Spring Sprig",1801
"Town of Gnawnia","-","Marshmallow Monterey","-","5.55%","Chocolate Gold Foil",1801
"Town of Gnawnia","-","Marshmallow Monterey","-","5.33%","Carefree Cook",1801
"Town of Gnawnia","-","Marshmallow Monterey","-","2.83%","Pan Slammer",1801
"Town of Gnawnia","-","Marshmallow Monterey","-","2.72%","Onion Chopper",1801
"Town of Gnawnia","-","Marshmallow Monterey","-","2.61%","Hardboiled",1801
"Town of Gnawnia","-","Marshmallow Monterey","-","2.55%","Eggsquisite Entertainer",1801
"Town of Gnawnia","-","Marshmallow Monterey","-","2.33%","Hare Razer",1801
"Town of Gnawnia","-","Marshmallow Monterey","Dark Chocolate","17.39%","Eggscavator",46
"Town of Gnawnia","-","Marshmallow Monterey","Dark Chocolate","15.22%","Chocolate Gold Foil",46
"Town of Gnawnia","-","Marshmallow Monterey","Dark Chocolate","10.87%","Sinister Egg Painter",46
"Town of Gnawnia","-","Marshmallow Monterey","Dark Chocolate","10.87%","Spring Sprig",46
"Town of Gnawnia","-","Marshmallow Monterey","Dark Chocolate","8.70%","Carefree Cook",46
"Town of Gnawnia","-","Marshmallow Monterey","Dark Chocolate","6.52%","Egg Painter",46
"Town of Gnawnia","-","Marshmallow Monterey","Dark Chocolate","6.52%","Hare Razer",46
"Town of Gnawnia","-","Marshmallow Monterey","Dark Chocolate","4.35%","Onion Chopper",46
"Town of Gnawnia","-","Marshmallow Monterey","Dark Chocolate","4.35%","Eggsplosive Scientist",46
"Town of Gnawnia","-","Marshmallow Monterey","Dark Chocolate","4.35%","Pan Slammer",46
"Town of Gnawnia","-","Marshmallow Monterey","Dark Chocolate","4.35%","Eggsquisite Entertainer",46
"Town of Gnawnia","-","Marshmallow Monterey","Dark Chocolate","2.17%","Coco Commander",46
"Town of Gnawnia","-","Marshmallow Monterey","Dark Chocolate","2.17%","Chocolate Overload",46
"Town of Gnawnia","-","Marshmallow Monterey","Dark Chocolate","2.17%","Hardboiled",46
"Town of Digby","-","Marshmallow Monterey","-","20.22%","Egg Painter",455
"Town of Digby","-","Marshmallow Monterey","-","11.21%","Chocolate Overload",455
"Town of Digby","-","Marshmallow Monterey","-","10.55%","Coco Commander",455
"Town of Digby","-","Marshmallow Monterey","-","9.67%","Eggsplosive Scientist",455
"Town of Digby","-","Marshmallow Monterey","-","8.57%","Egg Scrambler",455
"Town of Digby","-","Marshmallow Monterey","-","7.25%","Eggscavator",455
"Town of Digby","-","Marshmallow Monterey","-","6.59%","Chocolate Gold Foil",455
"Town of Digby","-","Marshmallow Monterey","-","5.27%","Carefree Cook",455
"Town of Digby","-","Marshmallow Monterey","-","4.62%","Spring Sprig",455
"Town of Digby","-","Marshmallow Monterey","-","4.18%","Eggsquisite Entertainer",455
"Town of Digby","-","Marshmallow Monterey","-","3.52%","Hare Razer",455
"Town of Digby","-","Marshmallow Monterey","-","3.30%","Onion Chopper",455
"Town of Digby","-","Marshmallow Monterey","-","2.64%","Hardboiled",455
"Town of Digby","-","Marshmallow Monterey","-","2.42%","Pan Slammer",455
"Great Gnarled Tree","-","Marshmallow Monterey","-","23.44%","Egg Painter",802
"Great Gnarled Tree","-","Marshmallow Monterey","-","9.73%","Eggsplosive Scientist",802
"Great Gnarled Tree","-","Marshmallow Monterey","-","9.10%","Eggscavator",802
"Great Gnarled Tree","-","Marshmallow Monterey","-","8.98%","Egg Scrambler",802
"Great Gnarled Tree","-","Marshmallow Monterey","-","8.48%","Chocolate Overload",802
"Great Gnarled Tree","-","Marshmallow Monterey","-","8.23%","Coco Commander",802
"Great Gnarled Tree","-","Marshmallow Monterey","-","6.48%","Chocolate Gold Foil",802
"Great Gnarled Tree","-","Marshmallow Monterey","-","5.86%","Carefree Cook",802
"Great Gnarled Tree","-","Marshmallow Monterey","-","4.61%","Spring Sprig",802
"Great Gnarled Tree","-","Marshmallow Monterey","-","3.74%","Onion Chopper",802
"Great Gnarled Tree","-","Marshmallow Monterey","-","3.49%","Hardboiled",802
"Great Gnarled Tree","-","Marshmallow Monterey","-","2.87%","Hare Razer",802
"Great Gnarled Tree","-","Marshmallow Monterey","-","2.62%","Pan Slammer",802
"Great Gnarled Tree","-","Marshmallow Monterey","-","2.37%","Eggsquisite Entertainer",802
"Great Gnarled Tree","-","Marshmallow Monterey","Dark Chocolate","20.00%","Chocolate Gold Foil",30
"Great Gnarled Tree","-","Marshmallow Monterey","Dark Chocolate","20.00%","Eggsquisite Entertainer",30
"Great Gnarled Tree","-","Marshmallow Monterey","Dark Chocolate","13.33%","Egg Painter",30
"Great Gnarled Tree","-","Marshmallow Monterey","Dark Chocolate","10.00%","Spring Sprig",30
"Great Gnarled Tree","-","Marshmallow Monterey","Dark Chocolate","6.67%","Onion Chopper",30
"Great Gnarled Tree","-","Marshmallow Monterey","Dark Chocolate","6.67%","Pan Slammer",30
"Great Gnarled Tree","-","Marshmallow Monterey","Dark Chocolate","6.67%","Sinister Egg Painter",30
"Great Gnarled Tree","-","Marshmallow Monterey","Dark Chocolate","6.67%","Carefree Cook",30
"Great Gnarled Tree","-","Marshmallow Monterey","Dark Chocolate","3.33%","Hare Razer",30
"Great Gnarled Tree","-","Marshmallow Monterey","Dark Chocolate","3.33%","Eggscavator",30
"Great Gnarled Tree","-","Marshmallow Monterey","Dark Chocolate","3.33%","Coco Commander",30
"Dojo","-","Marshmallow Monterey","-","19.97%","Egg Painter",716
"Dojo","-","Marshmallow Monterey","-","11.03%","Coco Commander",716
"Dojo","-","Marshmallow Monterey","-","9.92%","Eggscavator",716
"Dojo","-","Marshmallow Monterey","-","8.94%","Eggsplosive Scientist",716
"Dojo","-","Marshmallow Monterey","-","8.38%","Egg Scrambler",716
"Dojo","-","Marshmallow Monterey","-","7.68%","Chocolate Gold Foil",716
"Dojo","-","Marshmallow Monterey","-","7.54%","Chocolate Overload",716
"Dojo","-","Marshmallow Monterey","-","6.42%","Carefree Cook",716
"Dojo","-","Marshmallow Monterey","-","5.31%","Spring Sprig",716
"Dojo","-","Marshmallow Monterey","-","4.61%","Hare Razer",716
"Dojo","-","Marshmallow Monterey","-","3.49%","Pan Slammer",716
"Dojo","-","Marshmallow Monterey","-","2.65%","Hardboiled",716
"Dojo","-","Marshmallow Monterey","-","2.37%","Onion Chopper",716
"Dojo","-","Marshmallow Monterey","-","1.68%","Eggsquisite Entertainer",716
"Catacombs","-","Marshmallow Monterey","-","24.33%","Egg Painter",1677
"Catacombs","-","Marshmallow Monterey","-","10.14%","Eggsplosive Scientist",1677
"Catacombs","-","Marshmallow Monterey","-","9.24%","Egg Scrambler",1677
"Catacombs","-","Marshmallow Monterey","-","9.00%","Coco Commander",1677
"Catacombs","-","Marshmallow Monterey","-","8.47%","Chocolate Overload",1677
"Catacombs","-","Marshmallow Monterey","-","8.41%","Eggscavator",1677
"Catacombs","-","Marshmallow Monterey","-","6.08%","Spring Sprig",1677
"Catacombs","-","Marshmallow Monterey","-","5.72%","Carefree Cook",1677
"Catacombs","-","Marshmallow Monterey","-","4.83%","Chocolate Gold Foil",1677
"Catacombs","-","Marshmallow Monterey","-","3.22%","Hare Razer",1677
"Catacombs","-","Marshmallow Monterey","-","3.10%","Pan Slammer",1677
"Catacombs","-","Marshmallow Monterey","-","2.98%","Onion Chopper",1677
"Catacombs","-","Marshmallow Monterey","-","2.44%","Hardboiled",1677
"Catacombs","-","Marshmallow Monterey","-","2.03%","Eggsquisite Entertainer",1677
"S.S. Huntington III","-","Marshmallow Monterey","-","22.59%","Egg Painter",2054
"S.S. Huntington III","-","Marshmallow Monterey","-","9.69%","Coco Commander",2054
"S.S. Huntington III","-","Marshmallow Monterey","-","9.35%","Eggscavator",2054
"S.S. Huntington III","-","Marshmallow Monterey","-","9.35%","Chocolate Overload",2054
"S.S. Huntington III","-","Marshmallow Monterey","-","8.03%","Egg Scrambler",2054
"S.S. Huntington III","-","Marshmallow Monterey","-","7.94%","Eggsplosive Scientist",2054
"S.S. Huntington III","-","Marshmallow Monterey","-","6.91%","Spring Sprig",2054
"S.S. Huntington III","-","Marshmallow Monterey","-","5.50%","Carefree Cook",2054
"S.S. Huntington III","-","Marshmallow Monterey","-","5.26%","Chocolate Gold Foil",2054
"S.S. Huntington III","-","Marshmallow Monterey","-","3.75%","Pan Slammer",2054
"S.S. Huntington III","-","Marshmallow Monterey","-","3.21%","Eggsquisite Entertainer",2054
"S.S. Huntington III","-","Marshmallow Monterey","-","3.12%","Onion Chopper",2054
"S.S. Huntington III","-","Marshmallow Monterey","-","2.97%","Hare Razer",2054
"S.S. Huntington III","-","Marshmallow Monterey","-","2.34%","Hardboiled",2054
"S.S. Huntington III","-","Marshmallow Monterey","Dark Chocolate","14.60%","Egg Painter",137
"S.S. Huntington III","-","Marshmallow Monterey","Dark Chocolate","13.14%","Sinister Egg Painter",137
"S.S. Huntington III","-","Marshmallow Monterey","Dark Chocolate","13.14%","Onion Chopper",137
"S.S. Huntington III","-","Marshmallow Monterey","Dark Chocolate","11.68%","Eggscavator",137
"S.S. Huntington III","-","Marshmallow Monterey","Dark Chocolate","8.76%","Hare Razer",137
"S.S. Huntington III","-","Marshmallow Monterey","Dark Chocolate","8.03%","Pan Slammer",137
